Testlauf-ID;Datum/Zeit;Prompting-Technik;Programmieraufgabe;Länge des Codes;Kommentare im Code;Anzahl der importierten Bibliotheken;Bestandene Testfälle;Nicht bestandene Testfälle;Ausführungszeit;Unerwünschte Testfälle vorhanden;Unerwünschte Beispiele vorhanden;Besondere Beobachtungen
output_5_0S.py;20.06.2024 15:29;Zero Shot;5_utf8_to_ascii;13;4;0;3;5;1,64E+16;;;
output_14_RP.py;20.06.2024 15:29;Role-Play;5_utf8_to_ascii;10;2;0;3;5;1,47E+16;;;
output_4_0S.py;20.06.2024 15:29;Zero Shot;5_utf8_to_ascii;9;1;0;3;5;2,05E+14;;;
output_3_0S.py;20.06.2024 15:29;Zero Shot;5_utf8_to_ascii;9;0;0;3;5;1,53E+16;;;
output_11_RP.py;20.06.2024 15:29;Role-Play;5_utf8_to_ascii;8;0;0;3;5;1,49E+16;;;
output_12_RP.py;20.06.2024 15:29;Role-Play;5_utf8_to_ascii;9;0;0;3;5;1,50E+16;;;
output_10_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;5_utf8_to_ascii;13;3;0;3;5;1,52E+16;;;
output_1_0S.py;20.06.2024 15:29;Zero Shot;5_utf8_to_ascii;10;1;0;3;5;1,51E+16;;;
output_13_RP.py;20.06.2024 15:29;Role-Play;5_utf8_to_ascii;11;3;0;3;5;1,52E+15;;;
output_7_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;5_utf8_to_ascii;9;1;0;3;5;1,51E+16;;;
output_15_RP.py;20.06.2024 15:29;Role-Play;5_utf8_to_ascii;9;0;0;3;5;1,50E+16;;;
output_8_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;5_utf8_to_ascii;8;0;0;3;5;1,51E+15;;;
output_2_0S.py;20.06.2024 15:29;Zero Shot;5_utf8_to_ascii;9;1;0;3;5;1,45E+16;;;
output_9_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;5_utf8_to_ascii;10;2;0;3;5;1,48E+16;;;
output_6_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;5_utf8_to_ascii;10;2;0;3;5;1,51E+16;;;
output_5_0S.py;20.06.2024 15:29;Zero Shot;11_mean_squarred_error;4;0;1;8;0;1,55E+15;;;
output_14_RP.py;20.06.2024 15:29;Role-Play;11_mean_squarred_error;4;0;1;8;0;1,60E+16;;;
output_4_0S.py;20.06.2024 15:29;Zero Shot;11_mean_squarred_error;4;0;1;8;0;1,41E+16;;;
output_3_0S.py;20.06.2024 15:29;Zero Shot;11_mean_squarred_error;4;0;1;8;0;1,49E+16;;;
output_11_RP.py;20.06.2024 15:29;Role-Play;11_mean_squarred_error;4;0;1;8;0;1,41E+16;;;
output_12_RP.py;20.06.2024 15:29;Role-Play;11_mean_squarred_error;4;0;1;8;0;1,47E+16;;;
output_10_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;11_mean_squarred_error;4;0;1;8;0;1,42E+16;;;
output_1_0S.py;20.06.2024 15:29;Zero Shot;11_mean_squarred_error;4;0;1;8;0;1,51E+16;;;
output_13_RP.py;20.06.2024 15:29;Role-Play;11_mean_squarred_error;4;0;1;8;0;1,47E+16;;;
output_7_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;11_mean_squarred_error;4;0;1;8;0;1,43E+14;;;
output_15_RP.py;20.06.2024 15:29;Role-Play;11_mean_squarred_error;4;0;1;8;0;1,43E+16;;;
output_8_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;11_mean_squarred_error;6;0;1;8;0;1,44E+16;;;
output_2_0S.py;20.06.2024 15:29;Zero Shot;11_mean_squarred_error;4;0;1;8;0;1,51E+16;;;
output_9_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;11_mean_squarred_error;4;0;1;8;0;1,52E+15;;;
output_6_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;11_mean_squarred_error;4;0;1;8;0;1,44E+15;;;
output_5_0S.py;20.06.2024 15:29;Zero Shot;9_txt_to_excel;19;4;1;9;0;7,33E+15;;;
output_14_RP.py;20.06.2024 15:29;Role-Play;9_txt_to_excel;18;5;1;9;0;2,72E+15;;;
output_4_0S.py;20.06.2024 15:29;Zero Shot;9_txt_to_excel;15;0;1;9;0;2,68E+14;;;
output_3_0S.py;20.06.2024 15:29;Zero Shot;9_txt_to_excel;12;0;1;9;0;2,58E+15;;;
output_11_RP.py;20.06.2024 15:29;Role-Play;9_txt_to_excel;19;4;1;9;0;2,61E+15;;;
output_12_RP.py;20.06.2024 15:29;Role-Play;9_txt_to_excel;16;0;2;9;0;2,69E+16;;;
output_10_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;9_txt_to_excel;15;4;2;0;9;5,46E+15;;;
output_1_0S.py;20.06.2024 15:29;Zero Shot;9_txt_to_excel;15;4;2;0;9;5,01E+15;;;
output_13_RP.py;20.06.2024 15:29;Role-Play;9_txt_to_excel;17;4;2;9;0;2,65E+15;;;
output_7_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;9_txt_to_excel;19;4;1;9;0;2,51E+15;;;
output_15_RP.py;20.06.2024 15:29;Role-Play;9_txt_to_excel;16;3;1;9;0;2,56E+15;;;
output_8_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;9_txt_to_excel;9;2;2;4;5;4,59E+15;;;
output_2_0S.py;20.06.2024 15:30;Zero Shot;9_txt_to_excel;19;4;1;9;0;2,88E+14;;;
output_9_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;9_txt_to_excel;19;5;1;9;0;2,57E+16;;;
output_6_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;9_txt_to_excel;18;4;1;9;0;2,54E+16;;;
output_5_0S.py;20.06.2024 15:30;Zero Shot;4_is_valid_variable_name;8;0;1;7;0;2,10E+16;;;
output_14_RP.py;20.06.2024 15:30;Role-Play;4_is_valid_variable_name;15;3;1;7;0;2,08E+16;;;
output_4_0S.py;20.06.2024 15:30;Zero Shot;4_is_valid_variable_name;12;0;0;7;0;2,28E+16;;;
output_3_0S.py;20.06.2024 15:30;Zero Shot;4_is_valid_variable_name;12;0;0;7;0;1,51E+15;;;
output_11_RP.py;20.06.2024 15:30;Role-Play;4_is_valid_variable_name;12;3;1;7;0;2,08E+16;;;
output_12_RP.py;20.06.2024 15:30;Role-Play;4_is_valid_variable_name;15;3;1;7;0;2,21E+16;;;
output_10_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;4_is_valid_variable_name;17;5;1;7;0;2,11E+16;;;
output_1_0S.py;20.06.2024 15:30;Zero Shot;4_is_valid_variable_name;12;3;1;7;0;2,08E+14;;;
output_13_RP.py;20.06.2024 15:30;Role-Play;4_is_valid_variable_name;8;0;1;7;0;2,16E+16;;;
output_7_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;4_is_valid_variable_name;8;0;1;7;0;2,33E+16;;;
output_15_RP.py;20.06.2024 15:30;Role-Play;4_is_valid_variable_name;9;2;1;7;0;2,47E+15;;;
output_8_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;4_is_valid_variable_name;15;3;1;7;0;2,08E+15;;;
output_2_0S.py;20.06.2024 15:30;Zero Shot;4_is_valid_variable_name;8;0;1;7;0;2,04E+16;;;
output_9_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;4_is_valid_variable_name;8;0;1;7;0;2,11E+16;;;
output_6_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;4_is_valid_variable_name;12;0;0;7;0;1,48E+16;;;
output_5_0S.py;20.06.2024 15:30;Zero Shot;12_list_files;17;0;1;6;0;1,50E+16;;;
output_14_RP.py;20.06.2024 15:30;Role-Play;12_list_files;14;0;1;6;0;1,48E+16;;;
output_4_0S.py;20.06.2024 15:30;Zero Shot;12_list_files;14;0;1;6;0;1,48E+16;;;
output_3_0S.py;20.06.2024 15:30;Zero Shot;12_list_files;14;0;1;6;0;2,34E+16;;;
output_11_RP.py;20.06.2024 15:30;Role-Play;12_list_files;17;0;1;6;0;1,49E+16;;;
output_12_RP.py;20.06.2024 15:30;Role-Play;12_list_files;19;0;1;0;0;1,48E+16;;;
output_10_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;12_list_files;13;0;1;0;0;2,24E+16;;;
output_1_0S.py;20.06.2024 15:30;Zero Shot;12_list_files;15;0;1;0;0;1,51E+15;;;
output_13_RP.py;20.06.2024 15:30;Role-Play;12_list_files;18;0;1;6;0;1,49E+16;;;
output_7_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;12_list_files;18;0;1;6;0;1,93E+16;;;
output_15_RP.py;20.06.2024 15:30;Role-Play;12_list_files;20;0;1;6;0;1,48E+16;;;
output_8_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;12_list_files;14;0;1;6;0;2,25E+15;;;
output_2_0S.py;20.06.2024 15:30;Zero Shot;12_list_files;14;0;1;0;0;1,44E+16;;;
output_9_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;12_list_files;18;0;1;6;0;1,53E+16;;;
output_6_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;12_list_files;17;0;1;6;0;1,74E+14;;;
output_5_0S.py;20.06.2024 15:30;Zero Shot;16_k_means_clustering;7;0;2;9;0;4,10E+15;;;
output_14_RP.py;20.06.2024 15:30;Role-Play;16_k_means_clustering;7;0;2;9;0;6,54E+15;;;
output_4_0S.py;20.06.2024 15:30;Zero Shot;16_k_means_clustering;7;0;2;9;0;6,69E+15;;;
output_3_0S.py;20.06.2024 15:30;Zero Shot;16_k_means_clustering;7;0;2;9;0;7,18E+15;;;
output_11_RP.py;20.06.2024 15:30;Role-Play;16_k_means_clustering;17;4;2;9;0;6,69E+15;;;
output_12_RP.py;20.06.2024 15:30;Role-Play;16_k_means_clustering;7;0;2;9;0;6,85E+14;;;
output_10_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;16_k_means_clustering;15;3;2;9;0;7,51E+15;;;
output_1_0S.py;20.06.2024 15:30;Zero Shot;16_k_means_clustering;7;0;2;9;0;1,09E+16;;;
output_13_RP.py;20.06.2024 15:30;Role-Play;16_k_means_clustering;7;0;2;9;0;6,84E+15;;;
output_7_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;16_k_means_clustering;7;0;2;9;0;7,22E+15;;;
output_15_RP.py;20.06.2024 15:30;Role-Play;16_k_means_clustering;7;0;2;9;0;9,24E+15;;;
output_8_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;16_k_means_clustering;7;0;2;9;0;1,07E+16;;;
output_2_0S.py;20.06.2024 15:30;Zero Shot;16_k_means_clustering;7;0;2;9;0;8,61E+15;;;
output_9_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;16_k_means_clustering;7;0;2;9;0;8,77E+15;;;
output_6_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;16_k_means_clustering;7;0;2;9;0;8,21E+15;;;
output_5_0S.py;20.06.2024 15:30;Zero Shot;14_diag_zero;17;3;1;9;0;1,41E+16;;;
output_14_RP.py;20.06.2024 15:30;Role-Play;14_diag_zero;13;2;1;9;0;1,48E+16;;;
output_4_0S.py;20.06.2024 15:30;Zero Shot;14_diag_zero;12;2;1;9;0;1,77E+16;;;
output_3_0S.py;20.06.2024 15:30;Zero Shot;14_diag_zero;19;4;1;9;0;1,48E+16;;;
output_11_RP.py;20.06.2024 15:30;Role-Play;14_diag_zero;11;0;1;9;0;1,47E+16;;;
output_12_RP.py;20.06.2024 15:30;Role-Play;14_diag_zero;13;3;1;9;0;1,42E+15;;;
output_10_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;14_diag_zero;21;4;1;9;0;1,51E+16;;;
output_1_0S.py;20.06.2024 15:30;Zero Shot;14_diag_zero;13;2;1;9;0;1,55E+16;;;
output_13_RP.py;20.06.2024 15:30;Role-Play;14_diag_zero;19;4;1;9;0;1,41E+16;;;
output_7_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;14_diag_zero;19;5;1;9;0;1,44E+16;;;
output_15_RP.py;20.06.2024 15:30;Role-Play;14_diag_zero;10;0;1;9;0;1,40E+16;;;
output_8_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;14_diag_zero;20;5;1;9;0;1,59E+16;;;
output_2_0S.py;20.06.2024 15:30;Zero Shot;14_diag_zero;9;0;1;9;0;1,58E+15;;;
output_9_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;14_diag_zero;9;0;1;9;0;1,43E+15;;;
output_6_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;14_diag_zero;10;0;1;9;0;1,50E+16;;;
output_5_0S.py;20.06.2024 15:30;Zero Shot;2_remove_html_tags;21;3;1;7;0;2,10E+15;;;
output_14_RP.py;20.06.2024 15:30;Role-Play;2_remove_html_tags;18;0;1;7;0;2,65E+15;;;
output_4_0S.py;20.06.2024 15:30;Zero Shot;2_remove_html_tags;21;4;1;7;0;2,72E+16;;;
output_3_0S.py;20.06.2024 15:30;Zero Shot;2_remove_html_tags;21;3;1;7;0;3,46E+15;;;
output_11_RP.py;20.06.2024 15:30;Role-Play;2_remove_html_tags;18;0;1;7;0;3,06E+16;;;
output_12_RP.py;20.06.2024 15:30;Role-Play;2_remove_html_tags;18;0;1;7;0;2,14E+15;;;
output_10_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;2_remove_html_tags;27;7;1;7;0;2,14E+14;;;
output_1_0S.py;20.06.2024 15:30;Zero Shot;2_remove_html_tags;18;0;1;7;0;3,14E+15;;;
output_13_RP.py;20.06.2024 15:30;Role-Play;2_remove_html_tags;18;0;1;7;0;2,05E+16;;;
output_7_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;2_remove_html_tags;17;0;1;7;0;2,09E+16;;;
output_15_RP.py;20.06.2024 15:30;Role-Play;2_remove_html_tags;17;0;1;7;0;2,10E+16;;;
output_8_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;2_remove_html_tags;21;3;1;7;0;2,07E+16;;;
output_2_0S.py;20.06.2024 15:30;Zero Shot;2_remove_html_tags;21;3;1;7;0;2,16E+16;;;
output_9_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;2_remove_html_tags;20;3;1;7;0;2,08E+16;;;
output_6_CoT.py;20.06.2024 15:30;Chain-of-Thoughts;2_remove_html_tags;23;5;1;7;0;2,29E+15;;;
output_5_0S.py;20.06.2024 15:30;Zero Shot;13_resize_and_rename_images;23;0;2;0;6;5,57E+15;;;
output_14_RP.py;20.06.2024 15:31;Role-Play;13_resize_and_rename_images;30;9;2;6;0;5,67E+15;;;
output_4_0S.py;20.06.2024 15:31;Zero Shot;13_resize_and_rename_images;40;10;2;1;5;5,65E+14;;;
output_3_0S.py;20.06.2024 15:31;Zero Shot;13_resize_and_rename_images;28;1;2;0;6;5,56E+15;;;
output_11_RP.py;20.06.2024 15:31;Role-Play;13_resize_and_rename_images;22;0;2;1;5;5,65E+15;;;
output_12_RP.py;20.06.2024 15:31;Role-Play;13_resize_and_rename_images;21;0;2;0;6;5,57E+16;;;
output_10_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;13_resize_and_rename_images;33;9;2;6;0;5,79E+15;;;
output_1_0S.py;20.06.2024 15:31;Zero Shot;13_resize_and_rename_images;30;7;2;6;0;6,45E+15;;;
output_13_RP.py;20.06.2024 15:31;Role-Play;13_resize_and_rename_images;20;0;2;0;6;6,23E+15;;;
output_7_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;13_resize_and_rename_images;23;0;2;6;0;5,60E+16;;;
output_15_RP.py;20.06.2024 15:31;Role-Play;13_resize_and_rename_images;30;9;2;6;0;6,40E+14;;;
output_8_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;13_resize_and_rename_images;30;7;2;0;6;5,66E+16;;;
output_2_0S.py;20.06.2024 15:31;Zero Shot;13_resize_and_rename_images;21;0;2;6;0;5,59E+16;;;
