Testlauf-ID;Datum/Zeit;Prompting-Technik;Programmieraufgabe;Länge des Codes;Kommentare im Code;Anzahl der importierten Bibliotheken;Bestandene Testfälle;Nicht bestandene Testfälle;Ausführungszeit;Unerwünschte Testfälle vorhanden;Unerwünschte Beispiele vorhanden;Besondere Beobachtungen
output_9_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;13_resize_and_rename_images;35;11;2;6;0;5,56E+15;;;
output_6_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;13_resize_and_rename_images;31;6;2;6;0;5,49E+15;;;
output_5_0S.py;20.06.2024 15:31;Zero Shot;1_word_count;25;5;2;4;1;2,25E+16;;;
output_14_RP.py;20.06.2024 15:31;Role-Play;1_word_count;22;5;2;4;1;2,16E+16;;;
output_4_0S.py;20.06.2024 15:31;Zero Shot;1_word_count;25;6;2;4;1;2,20E+16;;;
output_3_0S.py;20.06.2024 15:31;Zero Shot;1_word_count;26;7;2;4;1;2,16E+16;;;
output_11_RP.py;20.06.2024 15:31;Role-Play;1_word_count;23;5;2;4;1;2,21E+16;;;
output_12_RP.py;20.06.2024 15:31;Role-Play;1_word_count;25;7;2;4;1;2,17E+16;;;
output_10_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;1_word_count;26;6;2;4;1;2,17E+16;;;
output_1_0S.py;20.06.2024 15:31;Zero Shot;1_word_count;24;4;2;4;1;2,16E+15;;;
output_13_RP.py;20.06.2024 15:31;Role-Play;1_word_count;20;3;2;4;1;2,19E+16;;;
output_7_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;1_word_count;24;6;2;4;1;2,18E+15;;;
output_15_RP.py;20.06.2024 15:31;Role-Play;1_word_count;23;5;2;4;1;3,37E+15;;;
output_8_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;1_word_count;26;6;2;4;1;2,17E+16;;;
output_2_0S.py;20.06.2024 15:31;Zero Shot;1_word_count;22;5;2;4;1;2,15E+15;;;
output_9_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;1_word_count;23;5;2;4;1;2,71E+16;;;
output_6_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;1_word_count;20;3;2;4;1;2,21E+16;;;
output_5_0S.py;20.06.2024 15:31;Zero Shot;15_count_files;7;0;1;9;0;1,48E+16;;;
output_14_RP.py;20.06.2024 15:31;Role-Play;15_count_files;7;0;1;9;0;1,46E+16;;;
output_4_0S.py;20.06.2024 15:31;Zero Shot;15_count_files;7;0;1;9;0;1,46E+16;;;
output_3_0S.py;20.06.2024 15:31;Zero Shot;15_count_files;7;0;1;9;0;2,37E+16;;;
output_11_RP.py;20.06.2024 15:31;Role-Play;15_count_files;7;0;1;9;0;1,49E+16;;;
output_12_RP.py;20.06.2024 15:31;Role-Play;15_count_files;7;0;1;9;0;2,63E+16;;;
output_10_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;15_count_files;7;0;1;9;0;1,49E+16;;;
output_1_0S.py;20.06.2024 15:31;Zero Shot;15_count_files;7;0;1;9;0;1,50E+16;;;
output_13_RP.py;20.06.2024 15:31;Role-Play;15_count_files;7;0;1;9;0;1,54E+16;;;
output_7_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;15_count_files;7;0;1;9;0;1,48E+15;;;
output_15_RP.py;20.06.2024 15:31;Role-Play;15_count_files;7;0;1;9;0;2,35E+16;;;
output_8_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;15_count_files;7;0;1;9;0;2,35E+16;;;
output_2_0S.py;20.06.2024 15:31;Zero Shot;15_count_files;7;0;1;9;0;1,42E+16;;;
output_9_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;15_count_files;7;0;1;9;0;1,50E+16;;;
output_6_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;15_count_files;7;0;1;9;0;1,48E+15;;;
output_5_0S.py;20.06.2024 15:31;Zero Shot;18_check_ip_overlap;6;0;1;9;0;1,96E+15;;;
output_14_RP.py;20.06.2024 15:31;Role-Play;18_check_ip_overlap;6;0;1;9;0;1,92E+15;;;
output_4_0S.py;20.06.2024 15:31;Zero Shot;18_check_ip_overlap;6;0;1;9;0;2,27E+16;;;
output_3_0S.py;20.06.2024 15:31;Zero Shot;18_check_ip_overlap;6;0;1;9;0;1,96E+16;;;
output_11_RP.py;20.06.2024 15:31;Role-Play;18_check_ip_overlap;6;0;1;9;0;1,92E+16;;;
output_12_RP.py;20.06.2024 15:31;Role-Play;18_check_ip_overlap;6;0;1;9;0;1,92E+16;;;
output_10_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;18_check_ip_overlap;7;0;1;9;0;1,91E+16;;;
output_1_0S.py;20.06.2024 15:31;Zero Shot;18_check_ip_overlap;6;0;1;9;0;1,92E+15;;;
output_13_RP.py;20.06.2024 15:31;Role-Play;18_check_ip_overlap;6;0;1;9;0;1,92E+15;;;
output_7_CoT.py;20.06.2024 15:31;Chain-of-Thoughts;18_check_ip_overlap;9;2;1;9;0;1,95E+16;;;
output_15_RP.py;20.06.2024 15:32;Role-Play;18_check_ip_overlap;6;0;1;9;0;1,97E+16;;;
output_8_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;18_check_ip_overlap;9;2;1;9;0;1,95E+16;;;
output_2_0S.py;20.06.2024 15:32;Zero Shot;18_check_ip_overlap;6;0;1;9;0;1,92E+15;;;
output_9_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;18_check_ip_overlap;7;0;1;9;0;2,01E+16;;;
output_6_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;18_check_ip_overlap;6;0;1;9;0;1,95E+15;;;
output_5_0S.py;20.06.2024 15:32;Zero Shot;10_label_filter;14;0;1;0;9;1,49E+16;;;
output_14_RP.py;20.06.2024 15:32;Role-Play;10_label_filter;12;0;1;4;5;1,51E+16;;;
output_4_0S.py;20.06.2024 15:32;Zero Shot;10_label_filter;17;3;1;4;5;1,55E+16;;;
output_3_0S.py;20.06.2024 15:32;Zero Shot;10_label_filter;13;0;1;0;9;1,49E+16;;;
output_11_RP.py;20.06.2024 15:32;Role-Play;10_label_filter;17;0;1;0;9;2,10E+16;;;
output_12_RP.py;20.06.2024 15:32;Role-Play;10_label_filter;17;0;1;0;9;1,47E+16;;;
output_10_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;10_label_filter;20;4;1;0;9;1,53E+16;;;
output_1_0S.py;20.06.2024 15:32;Zero Shot;10_label_filter;13;0;1;4;5;1,51E+16;;;
output_13_RP.py;20.06.2024 15:32;Role-Play;10_label_filter;20;1;1;0;9;1,50E+15;;;
output_7_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;10_label_filter;13;0;1;4;5;1,47E+16;;;
output_15_RP.py;20.06.2024 15:32;Role-Play;10_label_filter;17;0;1;0;9;1,73E+14;;;
output_8_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;10_label_filter;19;4;1;4;5;1,48E+16;;;
output_2_0S.py;20.06.2024 15:32;Zero Shot;10_label_filter;14;0;1;0;9;1,98E+16;;;
output_9_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;10_label_filter;19;4;1;4;5;1,49E+16;;;
output_6_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;10_label_filter;16;1;1;0;9;1,47E+16;;;
output_5_0S.py;20.06.2024 15:32;Zero Shot;3_schedule_manager;35;7;1;4;4;1,70E+14;;;
output_14_RP.py;20.06.2024 15:32;Role-Play;3_schedule_manager;32;7;1;4;4;1,69E+16;;;
output_4_0S.py;20.06.2024 15:32;Zero Shot;3_schedule_manager;31;6;1;4;4;1,70E+15;;;
output_3_0S.py;20.06.2024 15:32;Zero Shot;3_schedule_manager;36;7;1;2;6;1,69E+15;;;
output_11_RP.py;20.06.2024 15:32;Role-Play;3_schedule_manager;28;0;1;4;4;1,70E+16;;;
output_12_RP.py;20.06.2024 15:32;Role-Play;3_schedule_manager;24;0;1;4;4;1,70E+16;;;
output_10_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;3_schedule_manager;36;6;1;4;4;1,74E+15;;;
output_1_0S.py;20.06.2024 15:32;Zero Shot;3_schedule_manager;27;0;1;4;4;1,71E+15;;;
output_13_RP.py;20.06.2024 15:32;Role-Play;3_schedule_manager;27;0;1;4;4;1,70E+16;;;
output_7_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;3_schedule_manager;24;0;1;4;4;1,68E+16;;;
output_15_RP.py;20.06.2024 15:32;Role-Play;3_schedule_manager;27;0;1;4;4;1,69E+16;;;
output_8_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;3_schedule_manager;36;7;1;4;4;1,69E+16;;;
output_2_0S.py;20.06.2024 15:32;Zero Shot;3_schedule_manager;35;6;1;2;6;2,81E+15;;;
output_9_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;3_schedule_manager;31;6;1;4;4;1,84E+16;;;
output_6_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;3_schedule_manager;35;7;1;4;4;1,68E+16;;;
output_5_0S.py;20.06.2024 15:32;Zero Shot;17_calculate_date_difference;9;0;2;9;0;3,47E+16;;;
output_14_RP.py;20.06.2024 15:32;Role-Play;17_calculate_date_difference;14;3;2;9;0;3,39E+16;;;
output_4_0S.py;20.06.2024 15:32;Zero Shot;17_calculate_date_difference;9;0;2;9;0;3,82E+15;;;
output_3_0S.py;20.06.2024 15:32;Zero Shot;17_calculate_date_difference;9;0;2;9;0;3,39E+15;;;
output_11_RP.py;20.06.2024 15:32;Role-Play;17_calculate_date_difference;14;3;2;9;0;3,83E+16;;;
output_12_RP.py;20.06.2024 15:32;Role-Play;17_calculate_date_difference;14;3;2;9;0;3,53E+16;;;
output_10_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;17_calculate_date_difference;14;3;2;9;0;3,40E+15;;;
output_1_0S.py;20.06.2024 15:32;Zero Shot;17_calculate_date_difference;10;0;2;9;0;3,82E+15;;;
output_13_RP.py;20.06.2024 15:32;Role-Play;17_calculate_date_difference;10;0;2;9;0;3,41E+16;;;
output_7_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;17_calculate_date_difference;14;3;2;9;0;4,07E+15;;;
output_15_RP.py;20.06.2024 15:32;Role-Play;17_calculate_date_difference;19;4;3;9;0;3,41E+15;;;
output_8_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;17_calculate_date_difference;14;3;2;9;0;3,57E+15;;;
output_2_0S.py;20.06.2024 15:32;Zero Shot;17_calculate_date_difference;18;4;2;9;0;3,63E+15;;;
output_9_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;17_calculate_date_difference;18;4;2;9;0;3,92E+16;;;
output_6_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;17_calculate_date_difference;18;4;2;9;0;3,39E+16;;;
output_5_0S.py;20.06.2024 15:32;Zero Shot;7_extract_temperatures_from_text;24;0;1;6;5;2,56E+15;;;
output_14_RP.py;20.06.2024 15:32;Role-Play;7_extract_temperatures_from_text;30;0;1;8;3;2,41E+16;;;
output_4_0S.py;20.06.2024 15:32;Zero Shot;7_extract_temperatures_from_text;30;0;1;8;3;2,41E+16;;;
output_3_0S.py;20.06.2024 15:32;Zero Shot;7_extract_temperatures_from_text;25;0;1;6;5;2,40E+16;;;
output_11_RP.py;20.06.2024 15:32;Role-Play;7_extract_temperatures_from_text;24;0;1;6;5;2,38E+16;;;
output_12_RP.py;20.06.2024 15:32;Role-Play;7_extract_temperatures_from_text;18;0;1;6;5;2,40E+16;;;
output_10_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;7_extract_temperatures_from_text;25;0;1;6;5;2,38E+16;;;
output_1_0S.py;20.06.2024 15:32;Zero Shot;7_extract_temperatures_from_text;26;0;1;8;3;2,40E+16;;;
output_7_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;7_extract_temperatures_from_text;24;0;1;6;5;2,38E+16;;;
output_15_RP.py;20.06.2024 15:32;Role-Play;7_extract_temperatures_from_text;18;0;1;6;5;2,39E+14;;;
output_8_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;7_extract_temperatures_from_text;18;0;1;6;5;2,37E+15;;;
output_9_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;7_extract_temperatures_from_text;24;0;1;6;5;2,93E+16;;;
output_6_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;7_extract_temperatures_from_text;30;0;1;8;3;2,39E+16;;;
output_5_0S.py;20.06.2024 15:32;Zero Shot;6_get_top_k_words_from_html;23;6;3;3;5;2,01E+16;;;
output_14_RP.py;20.06.2024 15:32;Role-Play;6_get_top_k_words_from_html;19;4;3;4;4;1,04E+16;;;
output_4_0S.py;20.06.2024 15:32;Zero Shot;6_get_top_k_words_from_html;21;5;3;3;5;1,03E+16;;;
output_3_0S.py;20.06.2024 15:32;Zero Shot;6_get_top_k_words_from_html;19;4;3;4;4;10205078125;;;
output_11_RP.py;20.06.2024 15:32;Role-Play;6_get_top_k_words_from_html;25;8;3;3;5;1,23E+16;;;
output_12_RP.py;20.06.2024 15:32;Role-Play;6_get_top_k_words_from_html;16;5;3;4;4;1,03E+16;;;
output_10_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;6_get_top_k_words_from_html;19;4;3;4;4;1,04E+16;;;
output_1_0S.py;20.06.2024 15:32;Zero Shot;6_get_top_k_words_from_html;16;5;3;4;4;1,03E+16;;;
output_13_RP.py;20.06.2024 15:32;Role-Play;6_get_top_k_words_from_html;20;4;3;3;5;1,03E+16;;;
output_7_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;6_get_top_k_words_from_html;20;4;3;3;5;1,45E+16;;;
output_15_RP.py;20.06.2024 15:32;Role-Play;6_get_top_k_words_from_html;16;5;3;4;4;1,08E+16;;;
output_8_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;6_get_top_k_words_from_html;21;5;3;4;4;1,02E+15;;;
output_2_0S.py;20.06.2024 15:32;Zero Shot;6_get_top_k_words_from_html;19;4;3;4;4;1,09E+16;;;
output_9_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;6_get_top_k_words_from_html;33;5;3;3;5;1,02E+15;;;
output_6_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;6_get_top_k_words_from_html;21;5;3;4;4;1,04E+16;;;
output_5_0S.py;20.06.2024 15:32;Zero Shot;8_backup_folder;29;6;2;6;0;2,36E+15;;;
output_14_RP.py;20.06.2024 15:32;Role-Play;8_backup_folder;30;5;2;6;0;2,38E+16;;;
output_4_0S.py;20.06.2024 15:32;Zero Shot;8_backup_folder;32;8;2;6;0;2,57E+16;;;
output_3_0S.py;20.06.2024 15:32;Zero Shot;8_backup_folder;32;8;2;6;0;2,35E+16;;;
output_11_RP.py;20.06.2024 15:32;Role-Play;8_backup_folder;32;8;2;6;0;2,35E+16;;;
output_12_RP.py;20.06.2024 15:32;Role-Play;8_backup_folder;30;7;2;6;0;2,36E+15;;;
output_10_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;8_backup_folder;29;6;2;6;0;3,57E+14;;;
output_1_0S.py;20.06.2024 15:32;Zero Shot;8_backup_folder;27;5;2;6;0;2,40E+16;;;
output_13_RP.py;20.06.2024 15:32;Role-Play;8_backup_folder;29;6;2;6;0;2,33E+16;;;
output_7_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;8_backup_folder;29;6;2;6;0;2,36E+16;;;
output_15_RP.py;20.06.2024 15:32;Role-Play;8_backup_folder;30;7;2;6;0;2,39E+16;;;
output_8_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;8_backup_folder;32;8;2;6;0;2,36E+16;;;
output_2_0S.py;20.06.2024 15:32;Zero Shot;8_backup_folder;32;8;2;6;0;2,33E+16;;;
output_9_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;8_backup_folder;31;7;2;6;0;2,36E+16;;;
output_6_CoT.py;20.06.2024 15:32;Chain-of-Thoughts;8_backup_folder;29;6;2;6;0;2,36E+15;;;
