Testlauf-ID,Ausführungszeit
output_5_0S.py,0.020887374877929688
output_14_RP.py,0.020664215087890625
output_4_0S.py,0.021502017974853516
output_3_0S.py,0.02052783966064453
output_11_RP.py,0.020481348037719727
output_12_RP.py,0.02073955535888672
output_10_CoT.py,0.020619869232177734
output_1_0S.py,0.020549297332763672
output_13_RP.py,0.02081918716430664
output_7_CoT.py,0.020282268524169922
output_15_RP.py,0.02056598663330078
output_8_CoT.py,0.02020549774169922
output_2_0S.py,0.02090620994567871
output_9_CoT.py,0.020593881607055664
output_6_CoT.py,0.020554780960083008
output_5_0S.py,0.2648346424102783
output_14_RP.py,0.2783927917480469
output_4_0S.py,0.22828173637390137
output_3_0S.py,0.21880698204040527
output_11_RP.py,0.20981812477111816
output_12_RP.py,0.18126440048217773
output_10_CoT.py,0.14539718627929688
output_1_0S.py,0.14385461807250977
output_13_RP.py,0.14394187927246094
output_7_CoT.py,0.14252233505249023
output_15_RP.py,0.15134024620056152
output_8_CoT.py,0.14617252349853516
output_2_0S.py,0.14363431930541992
output_9_CoT.py,0.17322731018066406
output_6_CoT.py,0.1409914493560791
output_5_0S.py,0.25191545486450195
output_14_RP.py,0.26011109352111816
output_4_0S.py,0.2838609218597412
output_3_0S.py,0.27971696853637695
output_11_RP.py,0.24974822998046875
output_12_RP.py,0.2588167190551758
output_10_CoT.py,0.4382615089416504
output_1_0S.py,0.44762611389160156
output_13_RP.py,0.31270718574523926
output_7_CoT.py,0.267627477645874
output_15_RP.py,0.27755236625671387
output_8_CoT.py,0.45296454429626465
output_2_0S.py,0.25113892555236816
output_9_CoT.py,0.24915695190429688
output_6_CoT.py,0.2570066452026367
output_5_0S.py,0.02153921127319336
output_14_RP.py,0.02025628089904785
output_4_0S.py,0.014423370361328125
output_3_0S.py,0.015564918518066406
output_11_RP.py,0.020789623260498047
output_12_RP.py,0.022893190383911133
output_10_CoT.py,0.02111649513244629
output_1_0S.py,0.023340463638305664
output_13_RP.py,0.0235135555267334
output_7_CoT.py,0.026932954788208008
output_15_RP.py,0.028690814971923828
output_8_CoT.py,0.021289587020874023
output_2_0S.py,0.02049565315246582
output_9_CoT.py,0.026520252227783203
output_6_CoT.py,0.01967597007751465
output_5_0S.py,0.020632505416870117
output_14_RP.py,0.020740747451782227
output_4_0S.py,0.02922201156616211
output_3_0S.py,0.019455432891845703
output_11_RP.py,0.023952484130859375
output_12_RP.py,0.027438640594482422
output_10_CoT.py,0.025633811950683594
output_1_0S.py,0.024136066436767578
output_13_RP.py,0.018941402435302734
output_7_CoT.py,0.02211165428161621
output_15_RP.py,0.015232086181640625
output_8_CoT.py,0.014847278594970703
output_2_0S.py,0.014734029769897461
output_9_CoT.py,0.014900445938110352
output_6_CoT.py,0.014718055725097656
output_5_0S.py,3.8242814540863037
output_14_RP.py,0.6561813354492188
output_4_0S.py,0.6672275066375732
output_3_0S.py,0.6680338382720947
output_11_RP.py,0.7219703197479248
output_12_RP.py,0.6607577800750732
output_10_CoT.py,0.7028799057006836
output_1_0S.py,0.6909120082855225
output_13_RP.py,0.712864875793457
output_7_CoT.py,0.7508764266967773
output_15_RP.py,0.6724486351013184
output_8_CoT.py,0.6908414363861084
output_2_0S.py,0.6706051826477051
output_9_CoT.py,0.679415225982666
output_6_CoT.py,0.6740250587463379
output_5_0S.py,0.14998507499694824
output_14_RP.py,0.14577412605285645
output_4_0S.py,0.15508460998535156
output_3_0S.py,0.14875030517578125
output_11_RP.py,0.1610414981842041
output_12_RP.py,0.15257525444030762
output_10_CoT.py,0.1543278694152832
output_1_0S.py,0.1517014503479004
output_13_RP.py,0.14029979705810547
output_7_CoT.py,0.182112455368042
output_15_RP.py,0.14141154289245605
output_8_CoT.py,0.14139437675476074
output_2_0S.py,0.14045166969299316
output_9_CoT.py,0.14556312561035156
output_6_CoT.py,0.14351606369018555
output_5_0S.py,0.020673751831054688
output_14_RP.py,0.02859973907470703
output_4_0S.py,0.02321147918701172
output_3_0S.py,0.02079033851623535
output_11_RP.py,0.02052783966064453
output_12_RP.py,0.0213775634765625
output_10_CoT.py,0.02053666114807129
output_1_0S.py,0.022723913192749023
output_13_RP.py,0.020654916763305664
output_7_CoT.py,0.028000831604003906
output_15_RP.py,0.028606414794921875
output_8_CoT.py,0.02134561538696289
output_2_0S.py,0.02030634880065918
output_9_CoT.py,0.020511865615844727
output_6_CoT.py,0.020884275436401367
output_5_0S.py,0.06670069694519043
output_14_RP.py,0.0725095272064209
output_4_0S.py,0.05661296844482422
output_3_0S.py,0.05573606491088867
output_11_RP.py,0.05602002143859863
output_12_RP.py,0.05610918998718262
output_10_CoT.py,0.05681800842285156
output_1_0S.py,0.05560660362243652
generate_images.py,0.2069840431213379
output_13_RP.py,0.05629324913024902
output_7_CoT.py,0.0563809871673584
output_15_RP.py,0.057669639587402344
output_8_CoT.py,0.05592656135559082
output_2_0S.py,0.0553131103515625
output_9_CoT.py,0.05690741539001465
output_6_CoT.py,0.05561494827270508
output_5_0S.py,0.022998809814453125
output_14_RP.py,0.021795988082885742
output_4_0S.py,0.021779298782348633
output_3_0S.py,0.021678924560546875
output_11_RP.py,0.021899700164794922
output_12_RP.py,0.02167224884033203
output_10_CoT.py,0.02124500274658203
output_1_0S.py,0.021475791931152344
output_13_RP.py,0.02154827117919922
output_7_CoT.py,0.023128986358642578
output_15_RP.py,0.021317720413208008
output_8_CoT.py,0.022040128707885742
output_2_0S.py,0.02176666259765625
output_9_CoT.py,0.021988391876220703
output_6_CoT.py,0.031225919723510742
output_5_0S.py,0.015613079071044922
output_14_RP.py,0.014458179473876953
output_4_0S.py,0.014627695083618164
output_3_0S.py,0.0157315731048584
output_11_RP.py,0.017847537994384766
output_12_RP.py,0.017180204391479492
output_10_CoT.py,0.014933347702026367
output_1_0S.py,0.01852726936340332
output_13_RP.py,0.015177011489868164
output_7_CoT.py,0.014787435531616211
output_15_RP.py,0.015752553939819336
output_8_CoT.py,0.014888286590576172
output_2_0S.py,0.014968156814575195
output_9_CoT.py,0.014755964279174805
output_6_CoT.py,0.014756202697753906
output_5_0S.py,0.019279003143310547
output_14_RP.py,0.019442081451416016
output_4_0S.py,0.01977062225341797
output_3_0S.py,0.019215822219848633
output_11_RP.py,0.01937079429626465
output_12_RP.py,0.018714189529418945
output_10_CoT.py,0.019295454025268555
output_1_0S.py,0.019155025482177734
output_13_RP.py,0.0192873477935791
output_7_CoT.py,0.022305965423583984
output_15_RP.py,0.026482343673706055
output_8_CoT.py,0.021121978759765625
output_2_0S.py,0.028372526168823242
output_9_CoT.py,0.03147625923156738
output_6_CoT.py,0.01964879035949707
output_5_0S.py,0.015573501586914062
output_14_RP.py,0.014559268951416016
output_4_0S.py,0.01472330093383789
output_3_0S.py,0.01546025276184082
output_11_RP.py,0.014532804489135742
output_12_RP.py,0.014356851577758789
output_10_CoT.py,0.014408349990844727
output_1_0S.py,0.01484537124633789
output_13_RP.py,0.015588760375976562
output_7_CoT.py,0.014941692352294922
output_15_RP.py,0.014828205108642578
output_8_CoT.py,0.015985727310180664
output_2_0S.py,0.014827251434326172
output_9_CoT.py,0.015079259872436523
output_6_CoT.py,0.0150604248046875
output_5_0S.py,0.017023324966430664
output_14_RP.py,0.016834735870361328
output_4_0S.py,0.016947269439697266
output_3_0S.py,0.017102479934692383
output_11_RP.py,0.016817331314086914
output_12_RP.py,0.0187225341796875
output_10_CoT.py,0.01664566993713379
output_1_0S.py,0.01610875129699707
output_13_RP.py,0.01740264892578125
output_7_CoT.py,0.01681685447692871
output_15_RP.py,0.017757177352905273
output_8_CoT.py,0.017428874969482422
output_2_0S.py,0.020935773849487305
output_9_CoT.py,0.016931772232055664
output_6_CoT.py,0.016706466674804688
output_5_0S.py,0.341062068939209
output_14_RP.py,0.33629322052001953
output_4_0S.py,0.3456892967224121
output_3_0S.py,0.37603044509887695
output_11_RP.py,0.46208858489990234
output_12_RP.py,0.34233903884887695
output_10_CoT.py,0.3364882469177246
output_1_0S.py,0.36893653869628906
output_13_RP.py,0.3517580032348633
output_7_CoT.py,0.3547382354736328
output_15_RP.py,0.35205650329589844
output_8_CoT.py,0.3419206142425537
output_2_0S.py,0.33548450469970703
output_9_CoT.py,0.3449678421020508
output_6_CoT.py,0.34400296211242676
output_5_0S.py,0.02431797981262207
output_14_RP.py,0.023300647735595703
output_4_0S.py,0.026189804077148438
output_3_0S.py,0.02440047264099121
output_11_RP.py,0.024138212203979492
output_12_RP.py,0.023987770080566406
output_10_CoT.py,0.024129629135131836
output_1_0S.py,0.024637699127197266
output_13_RP.py,0.014560699462890625
output_7_CoT.py,0.024190902709960938
output_15_RP.py,0.024181604385375977
output_8_CoT.py,0.03472757339477539
output_2_0S.py,0.01909947395324707
output_9_CoT.py,0.02346944808959961
output_6_CoT.py,0.02390885353088379
output_5_0S.py,0.19074416160583496
output_14_RP.py,0.10104131698608398
output_4_0S.py,0.10231423377990723
output_3_0S.py,0.10783219337463379
output_11_RP.py,0.10117483139038086
output_12_RP.py,0.10129809379577637
output_10_CoT.py,0.10855245590209961
output_1_0S.py,0.1440117359161377
output_13_RP.py,0.11309123039245605
output_7_CoT.py,0.10108828544616699
output_15_RP.py,0.13046979904174805
output_8_CoT.py,0.10313987731933594
output_2_0S.py,0.10886096954345703
output_9_CoT.py,0.1011192798614502
output_6_CoT.py,0.1018679141998291
output_5_0S.py,0.023684978485107422
output_14_RP.py,0.024192333221435547
output_4_0S.py,0.02370166778564453
output_3_0S.py,0.023201704025268555
output_11_RP.py,0.023845195770263672
output_12_RP.py,0.02367258071899414
output_10_CoT.py,0.024487018585205078
output_1_0S.py,0.023777246475219727
output_13_RP.py,0.023759126663208008
output_7_CoT.py,0.03149271011352539
output_15_RP.py,0.03153705596923828
output_8_CoT.py,0.025663137435913086
output_2_0S.py,0.03612494468688965
output_9_CoT.py,0.033622026443481445
output_6_CoT.py,0.03232598304748535
